title,url,category,final_score,impact,scale,potential,legacy,novelty,credibility,positivity
Rep. Jim Jordan's Judiciary Twitter Account Finds 'Threat' In Pic Of Docs At Trump Home,https://www.huffpost.com/entry/jim-jordan-judiciary-trump-docs-tweet_n_630f124ee4b0dc23bbed2a07,POLITICS,2.0,2,2,2,1,2,6,1
Mikhail Gorbachev's 1998 Pizza Hut Ad Resurfaces After His Death,https://www.huffpost.com/entry/mikhail-gorbachev-pizza-hut-ad_n_630e8d48e4b07744a2fb19f3,POLITICS,2.9,2,2,1,3,5,7,5
Republicans Ignore Trump's Hoarding Of Classified Documents,https://www.huffpost.com/entry/donald-trump-fbi-classified-republicans_n_630f5edfe4b065bfc4b3d2ac,POLITICS,4.0,4,4,5,4,3,7,2
‘Fox & Friends’ Host Questions Why Trump Kept Classified Documents At Mar-A-Lago,https://www.huffpost.com/entry/fox-news-steve-doocy-trump-classified-documents_n_630f8a35e4b07744a2fc6e7d,POLITICS,4.2,4,4,5,5,3,7,3
Stocks Dive For Truth Social SPAC Amid Merger Delay,https://www.huffpost.com/entry/stocks-dive-truth-social-spac-merger-digital-world_n_630d93f0e4b0dc23bbeb4140,POLITICS,2.4,3,2,2,1,2,7,3
Secret Service Official And Ex-Trump Aide Tony Ornato Retires Amid Jan. 6 Probe,https://www.huffpost.com/entry/anthony-ornato-retires-secret-service-trump-adviser_n_630dff01e4b065bfc4b20e38,POLITICS,3.3,3,3,3,3,4,7,2
House Members Are Using A Controversial Tool To Keep Campaigning. Has It Gone Too Far?,https://www.huffpost.com/entry/us-house-proxy-voting_n_630d0049e4b07744a2f92303,POLITICS,3.5,4,4,3,2,3,7,3
Lindsey Graham Warns Of 'Riots In Streets' If Trump Is Charged Over Classified Docs,https://www.huffpost.com/entry/lindsey-graham-warning-riots-trump-charged-classified-documents_n_630c2ab3e4b07744a2f82df7,POLITICS,4.0,4,4,5,4,3,7,2
Kash Patel Says His Life's In Danger Because He's In FBI Affidavit,https://www.huffpost.com/entry/kash-patel-claim-life-in-danger-fbi-mar-a-lago-affidavit_n_630ac58ae4b07744a2f79726,POLITICS,2.4,2,2,2,2,3,6,2
FBI Probing Russian-Speaking Fake Heiress Who Infiltrated Mar-A-Lago: Report,https://www.huffpost.com/entry/fake-heiress-trump-mar-a-lago-security-breach_n_630ae229e4b088f74234e48b,POLITICS,3.6,4,4,3,3,3,8,2
Don Jr. Posts 'Dick Pic' Of Dad After Affidavit Release: 'Redact This!',https://www.huffpost.com/entry/donald-trump-jr-dick-pic-fbi-serach-affidavit_n_63097b47e4b063d5e61b9a20,POLITICS,3.8,4,4,3,3,4,7,2
Trump Attorneys File Do-Over Motion Regarding Mar-A-Lago Search,https://www.huffpost.com/entry/trump-attorneys-file-do-over-motion-mar-a-lago-search-fbi_n_6309a543e4b065bfc4af0c30,POLITICS,3.6,4,2,5,4,3,7,3
Jared Kushner Blasts 'Nasty Troll' Chrissy Teigen For Attacks On Ivanka,https://www.huffpost.com/entry/jared-kushner-chrissy-teigen-nasty-troll-ivanka-trump_n_630958dfe4b088f742346aa3,POLITICS,2.0,2,2,1,1,2,7,3
Mar-A-Lago Search Affidavit: Trump Was Insecurely Storing Most Sensitive Intel At Club,https://www.huffpost.com/entry/trump-search-warrant-affidavit_n_6307f080e4b0787ab40879b5,POLITICS,5.4,6,4,7,6,5,7,3
"Donald Trump's Truth Social Reportedly Faces Major Money, Trademark Woes",https://www.huffpost.com/entry/truth-social-donald-trump-trademark_n_6308560fe4b063d5e61a0d70,POLITICS,3.5,3,3,4,3,4,7,2
Judge Temporarily Blocks North Dakota Trigger Law Banning Abortion,https://www.huffpost.com/entry/north-dakota-abortion-trigger-ban_n_6307e96de4b01068e14917c0,POLITICS,4.5,4,4,5,5,4,7,5
Gov. Brian Kemp Fights Subpoena In Georgia Election Probe,https://www.huffpost.com/entry/gov-brian-kemp-fights-subpoena-in-georgia-election-probe_n_63074a8fe4b0f7df9bb705d2,POLITICS,4.1,4,4,5,4,3,8,2
"Dan Goldman, Narrowly Leading In New York Democratic Primary, Declares Victory",https://www.huffpost.com/entry/dan-goldman-declares-victory-new-york-democratic-primary-house-seat_n_630595dae4b0e323a25a020a,POLITICS,2.4,2,2,2,2,2,7,5
Markwayne Mullin Wins Oklahoma Republican Primary To Succeed GOP Sen. Jim Inhofe,https://www.huffpost.com/entry/markwayne-mullin-wins-oklahoma-repubican-primary-senate_n_63054959e4b0f72c09dbbb56,POLITICS,2.1,2,2,2,1,2,7,3
Charlie Crist Wins Chance To Take On Florida Gov. Ron DeSantis And His $132 Million,https://www.huffpost.com/entry/crist-friend-desantis-florida_n_63050414e4b052615d7567db,POLITICS,3.5,4,4,3,2,3,7,4
IRS Launches Safety Review Amid Threats To Workers Linked To Conspiracy Theories,https://www.huffpost.com/entry/irs-safety-review-conspiracy-theories_n_6305bc35e4b0f7df9bb4f3dc,POLITICS,3.8,4,4,3,3,4,7,2
Student Loan Borrowers Await Biden Plan On Debt Forgiveness,https://www.huffpost.com/entry/biden-student-loans-borrowers-await-plan_n_6306459ee4b00c150d671219,POLITICS,6.6,6,6,7,6,5,7,7
Rusty Bowers Rips 'Fascism' Of GOP And Trump's Strong-Arm Tactics To Trash Vote,https://www.huffpost.com/entry/rusty-bowers-trump-giuiani-gop-election-coup-arizona_n_630405b8e4b0e323a257fcd2,POLITICS,2.8,2,2,3,3,3,7,4
"After Delay, Biden Readies Student Loan Help, Payment Pause",https://www.huffpost.com/entry/after-delay-biden-readies-student-loan-help-payment-pause_n_63054fc1e4b00c150d65c210,POLITICS,4.6,5,4,4,4,5,8,5
This Is The Bittersweet Part Of Democrats' Sweet Legislative Victory,https://www.huffpost.com/entry/child-care-paid-leave-inflation-reduction-act_n_630197cae4b0f7df9bb1045e,POLITICS,4.9,4,4,6,5,5,7,6
Teachers In Ohio's Largest School District Go On Strike,https://www.huffpost.com/entry/columbus-teachers-union-on-strike_n_6303c25ce4b052615d73b2bd,POLITICS,2.4,2,2,2,1,3,7,4
"Gas Prices Are Falling, But Global Events Could Cause Increase, Energy Secretary Warns",https://www.huffpost.com/entry/jennifer-granholm-gas-prices_n_630370e2e4b035629bfca7ed,POLITICS,4.5,5,6,4,3,3,8,4
"Judge Won't Block Georgia Ban On Bringing Food, Water To Voters In Line",https://www.huffpost.com/entry/bc-us-voting-rights-georgia_n_6300ef0ae4b052615d720564,POLITICS,3.8,4,4,4,3,3,8,3
Mike Pence Says He Did Not Take Classified Documents When He Left Office,https://www.huffpost.com/entry/pence-says-did-not-take-classified-material_n_6300e9ece4b0f7df9bb0d29a,POLITICS,2.7,2,2,3,2,3,7,5
Mitch McConnell Gives Downbeat Forecast On GOP Winning Senate,https://www.huffpost.com/entry/mitch-mcconnell-gop-senate-midterms_n_62ff545de4b071ea958ebfd3,POLITICS,3.9,4,4,5,3,3,7,3
Media To Ask Judge To Release Trump Search Warrant Affidavit,https://www.huffpost.com/entry/media-to-ask-judge-to-release-trump-search-warrant-affidavit_n_62fdf830e4b0638948305107,POLITICS,4.1,4,4,5,3,4,7,3
CDC Director To Overhaul Agency With COVID Shortcomings In Mind,https://www.huffpost.com/entry/cdc-rochelle-walensky-reset_n_62fd1241e4b0f48a02037714,POLITICS,6.2,5,6,7,6,4,8,7
Planned Parenthood To Spend Record $50 Million For Midterms,https://www.huffpost.com/entry/2022-election-planned-parenthood_n_62fcb4c9e4b071ea958b347c,POLITICS,6.3,6,6,7,7,6,8,4
NBA Won't Host Election Day Games In Effort To Increase Voter Turnout,https://www.huffpost.com/entry/nba-election-day-games_n_62fbd822e4b0a85a81969b0b,POLITICS,5.2,4,4,5,3,6,8,7
"Lindsey Graham Must Testify In Georgia Election Probe, Judge Says",https://www.huffpost.com/entry/georgia-election-investigation-lindsey-graham_n_62fa5353e4b0da517efa33cc,POLITICS,3.8,4,4,3,3,4,7,3
Sinema Took Wall Street Money While Killing Tax On Investors,https://www.huffpost.com/entry/kyrsten-sinema-campaign-donations_n_62f7c515e4b0526eaeeb1df9,POLITICS,3.9,4,4,5,3,3,6,3
"Over $2 Billion Announced For Roads, Bridges, Bike Lanes Across U.S.",https://www.huffpost.com/entry/over-2-billion-announced-for-roads-bridges-bike-lanes-across-us_n_62f6140be4b0da517ef78267,POLITICS,6.3,6,6,7,5,4,7,7
Democrats’ Inflation Reduction Act Expected To Do Little To Reduce Inflation,https://www.huffpost.com/entry/inflation-reduction-act-analysis_n_62f5bdcbe4b0288b61a325d0,POLITICS,4.5,4,4,6,5,3,7,5
"As Joe Biden Wins Mount, 2024 Doubts Ease For Top House Dems",https://www.huffpost.com/entry/carolyn-maloney-jerry-nadler-biden-2024_n_62f381ede4b001e175d911cc,POLITICS,3.2,3,4,3,2,2,7,5
Why The Justice Department Can’t Say More About The Mar-A-Lago Raid,https://www.huffpost.com/entry/justice-department-cant-say-more-about-mar-a-lago-raid_n_62f2a8ebe4b0f9d8c0213b04,POLITICS,4.1,4,4,3,4,5,7,2
Lawyer: Rudy Giuliani Won’t Testify Tuesday In Georgia Election Probe,https://www.huffpost.com/entry/giuliani-not-testifying-atlanta-trump-election-interference_n_62f25cb4e4b0133dd5b30763,POLITICS,4.2,4,4,5,4,4,7,3
Trump Said Wounded Veterans In Military Parades Didn’t 'Look Good' For Him: Book,https://www.huffpost.com/entry/trump-said-wounded-vets-in-military-parades-didnt-look-good-for-him-book_n_62f12ab8e4b0da5ec0f69062,POLITICS,2.2,2,2,1,2,3,7,1
Lindsey Graham Scolded For Senate Outburst At Maggie Hassan,https://www.huffpost.com/entry/lindsey-graham-marilyn-hassan_n_62f0dc75e4b0ecfe3f722a5e,POLITICS,1.8,2,2,1,1,1,8,1
"‘Come On, Bernie!’ Why Democrats Left Child Tax Credit Out Of The Inflation Reduction Act",https://www.huffpost.com/entry/bernie-sanders-child-tax-credit_n_62f14258e4b00f4cf23c8345,POLITICS,4.2,4,4,5,4,3,7,5
"57 Votes in the Senate: Enough For Private Equity, Not Enough For Diabetics",https://www.huffpost.com/entry/57-votes-in-the-senate-private-equity-diabetics_n_62f14d26e4b09d09a2c60edb,POLITICS,3.5,4,4,4,3,2,6,2
Biden Expresses Solidarity With Muslim Community After Albuquerque Killings,https://www.huffpost.com/entry/biden-response-muslim-shootings-new-mexico_n_62f016bae4b0c550161b1f9b,POLITICS,2.3,2,2,2,1,2,8,5
This Is The Most Underappreciated Part Of The Democratic Prescription Drug Bill,https://www.huffpost.com/entry/prescription-drug-medicare-part-d-cap_n_62ed95cde4b09fecea4e24d4,POLITICS,5.5,6,5,7,5,4,8,6
GOP Senators Refuse To Rule Out Supporting Donald Trump Again — Even If He's Indicted,https://www.huffpost.com/entry/gop-senate-trump_n_62ed7803e4b09fecea4e1124,POLITICS,5.1,4,5,6,5,6,7,2
CPAC Has A Special Exhibit: A Sobbing Jan. 6 Rioter In Jail,https://www.huffpost.com/entry/cpac-fake-jail-jan-6-rioter_n_62ed419fe4b0c5501619eace,POLITICS,2.1,2,2,1,1,3,7,2
Paul Pelosi Pleads Not Guilty To DUI Charges,https://www.huffpost.com/entry/paul-pelosi-dui-plea_n_62eaac2ce4b09d09a2c02cb0,POLITICS,1.8,2,2,1,1,1,7,2
"Senate Republicans Fold, Help Pass Veterans Health Bill After Blocking It",https://www.huffpost.com/entry/senate-republicans-veterans-health-bill-pact-act_n_62e97e2ee4b09d14dc4731d3,POLITICS,4.2,4,4,3,3,2,7,7
Arizona's Rusty Bowers Comes Out Against A 2024 Trump Bid,https://www.huffpost.com/entry/rusty-bowers-donald-trump-arizona-gop_n_62e7a6fbe4b00fd8d8411100,POLITICS,2.8,2,2,3,2,4,7,3
Challenger Suraj Patel’s Poll Shows Tightening Race In Key New York Primary,https://www.huffpost.com/entry/suraj-patel-new-york-12-primary-tightening_n_62e6b5a3e4b09d14dc439816,POLITICS,3.6,4,4,3,2,3,7,5
Vulnerable House Dems See Abortion As Winning Campaign Theme,https://www.huffpost.com/entry/vulnerable-house-dems-see-abortion-as-winning-campaign-theme_n_62e6847ee4b006483a9e59ea,POLITICS,3.9,4,4,5,3,3,6,3
Ex-DHS Aide Suggests She 'Went Very Public' Because She Didn't Trust Inspector General,https://www.huffpost.com/entry/olivia-troye-secret-service-texts-inspector-general_n_62e55c06e4b07f83766fc1ae,POLITICS,4.1,4,4,5,4,3,7,3
DHS Watchdog Fails To Notify Congress Over Missing Jan. 6 Texts Of 2 Trump Officials,https://www.huffpost.com/entry/dhs-jan-6-missing-texts_n_62e3a22ce4b07f83766e534f,POLITICS,4.3,4,4,5,5,4,7,2
Alabama Official Told Reporter Her Skirt Was Too Short To Witness An Execution,https://www.huffpost.com/entry/alabama-joe-nathan-james-jr-witness-skirt_n_62e41fcae4b07f83766f12fe,POLITICS,2.0,2,2,1,1,2,8,2
Democrats' Reconciliation Package The 'Biggest Climate Action In Human History',https://www.huffpost.com/entry/democrats-reconciliation-package-climate-provisions_n_62e2cecfe4b006483a9b8f8d,POLITICS,7.1,7,8,8,7,6,7,6
Deputy Kills Unarmed Black Man After Alleged Shoplifting From Houston Dollar General,https://www.huffpost.com/entry/roderick-brooks-shooting-fatal-houston_n_62e18fb0e4b09d14dc3ef013,POLITICS,3.1,3,2,4,3,3,7,2
GOP Sen. Joni Ernst Blocks Bill Protecting Right To Birth Control,https://www.huffpost.com/entry/contraception-abortion-roe_n_62e18598e4b07f83766b7e06,POLITICS,4.1,4,4,5,3,4,7,3
Rep. Marjorie Taylor Greene Is Eligible To Run For Reelection: Judge,https://www.huffpost.com/entry/marjorie-taylor-greene-reelection-judge_n_62e0371ee4b000da2405775a,POLITICS,2.1,2,2,2,1,2,6,3
"Steve Bannon Calls On '4,000 Shock Troops' To 'Deconstruct' The Government 'Brick By Brick'",https://www.huffpost.com/entry/steve-bannon-shock-troops-deconstructing-government-brick-by-brick_n_62df1131e4b0aad58d1e13ca,POLITICS,4.7,4,4,6,5,5,7,2
Political Ad Shows Doctor Asking Texas Gov. Greg Abbott If He'll Allow An Abortion,https://www.huffpost.com/entry/texas-gop-gov-greg-abbott-abortion-ad_n_62df1e1de4b0aad58d1e1df0,POLITICS,4.4,4,4,5,4,5,7,2
"Biden Improves 'Significantly,' Throat Still Sore From COVID",https://www.huffpost.com/entry/biden-covid-improves_n_62dda60ae4b0a6852c38f22d,POLITICS,3.5,4,4,3,2,2,8,5
Josh Hawley's Home State Newspaper Chides Him As 'Laughingstock',https://www.huffpost.com/entry/josh-hawley-national-laughingstock_n_62dc9f81e4b0aad58d1b7c9b,POLITICS,2.6,3,2,2,2,3,7,1
Kari Lake Walked Away From A Career In Journalism. Now She's Running For Governor By Bashing The Media.,https://www.huffpost.com/entry/kari-lake-donald-trump-arizona-governor_n_62d6e010e4b092a3f6c19b2a,POLITICS,2.6,2,2,3,2,3,6,3
195 House Republicans Voted Against Birth Control Protections,https://www.huffpost.com/entry/house-republicans-voted-against-birth-control-protections_n_62d84d4be4b03dbb9913f86d,POLITICS,5.5,4,5,6,5,4,7,7
"Herschel Walker Is A Messy Candidate, But The Georgia Senate Race Is Still A Toss-Up",https://www.huffpost.com/entry/herschel-walker-georgia_n_62d96194e4b0a6852c3512ef,POLITICS,3.5,4,4,3,2,3,7,3
Appeals Court Allows Georgia Abortion Law To Take Effect,https://www.huffpost.com/entry/us-abortion-georgia_n_62d86965e4b000da23fb589e,POLITICS,5.0,6,4,5,7,3,8,3
Biden Takes Modest Executive Action After Climate Agenda Stalls In Congress,https://www.huffpost.com/entry/biden-climate-executive-orders-agenda-stalls_n_62d75058e4b0a6852c30c61b,POLITICS,6.8,6,8,8,7,5,7,6
"Secret Service Can't Recover Jan. 6 Texts, National Archives Wants Probe",https://www.huffpost.com/entry/national-archives-deleted-secret-service-texts_n_62d6c6bbe4b008a2d03f1ac4,POLITICS,5.2,6,5,5,5,5,7,3
Jury Selection Begins In Trial Of Ex-Trump Adviser Steve Bannon,https://www.huffpost.com/entry/trial-expected-to-begin-for-ex-trump-adviser-steve-bannon_n_62d51ff6e4b0116f21bdb3ab,POLITICS,2.7,2,2,3,3,3,7,2
4 Killed After Gunman Opens Fire In Indiana Mall Food Court,https://www.huffpost.com/entry/indiana-mall-shooting-food-court_n_62d4af0be4b0116f21bd36e7,POLITICS,2.1,2,2,1,2,2,7,3
Republicans Begin To Sour On Aid To Ukraine,https://www.huffpost.com/entry/gop-ukraine-aid_n_62d5cc17e4b0f69130331d50,POLITICS,5.1,5,6,6,5,3,7,4
Republican Senate Candidate Charged With Making False Child Trafficking Allegations,https://www.huffpost.com/entry/republican-senate-candidate-maryland-false-child-trafficking_n_62d55189e4b0f69130322be3,POLITICS,1.9,2,2,1,1,2,7,1
Former FDA Commissioner: U.S. Has Probably ‘Failed To Contain’ Monkeypox,https://www.huffpost.com/entry/scott-gottlieb-monkeypox_n_62d4d7b4e4b0f691303159eb,POLITICS,5.6,6,6,7,5,4,8,3
Ohio Girl's Abortion Doctor Once Targeted In Vicious Kidnapping Threat: Report,https://www.huffpost.com/entry/caitlin-bernard-amy-coney-barrett-kidnapping-abortion-threat-organization_n_62d33382e4b0116f21bc80c4,POLITICS,3.5,4,4,3,2,3,7,3
Trump-Supporting GOP Congressman Faces Election Fraud Accusations,https://www.huffpost.com/entry/lee-zeldin-election-fraud-accusations_n_62d3a3dce4b0ed8ba4901eb9,POLITICS,2.3,2,2,2,1,3,8,2
Senator Ted Cruz Says Supreme Court Was Wrong In Same-Sex Marriage Ruling,https://www.huffpost.com/entry/ted-cruz-obergefell-decision-wrong-roe-wade_n_62d42765e4b0116f21bcf44c,POLITICS,5.1,4,5,6,6,5,7,3
Watchdog Says Secret Service Deleted Jan. 6 Text Messages,https://www.huffpost.com/entry/secret-service-deleted-text-messages-capitol-riot-investigation_n_62d0c289e4b04aa0fe659edf,POLITICS,4.9,6,4,5,5,4,8,3
GOP No Longer Cares About The Deficit If It Means Women Having More Babies,https://www.huffpost.com/entry/medicaid-dobbs_n_62d093d4e4b0be7955b1a16a,POLITICS,4.1,4,4,5,4,3,8,3
John Fetterman Recruits Snooki To Take Some 'Jersey Shore' Shots At Dr. Oz,https://www.huffpost.com/entry/snooki-dr-oz-new-jersey-video_n_62d0fd09e4b02d3ecf31f242,POLITICS,2.2,2,2,1,1,3,6,5
Rep. Marjorie Taylor Greene Says Rep. Alexandria Ocasio-Cortez Should Thank Her Sexual Harasser,https://www.huffpost.com/entry/ocasio-cortez-taylor-greene-harassment_n_62d113bbe4b04aa0fe660bab,POLITICS,1.9,2,2,1,1,2,7,1
Puerto Ricans Desperate For Water After Hurricane Fiona’s Rampage,https://www.huffpost.com/entry/puerto-rico-water-hurricane-fiona_n_632bdfd8e4b0d12b54014e13,WORLD NEWS,5.1,6,6,5,5,3,7,3
Biden At UN To Call Russian War An Affront To Body's Charter,https://www.huffpost.com/entry/biden-un-russian-war-an-affront-to-bodys-charter_n_632ad9e3e4b0bfdf5e1bf5f7,WORLD NEWS,5.0,5,6,5,5,4,7,3
World Cup Captains Want To Wear Rainbow Armbands In Qatar,https://www.huffpost.com/entry/bc-soc-wcup-captains-armbands_n_632b1c98e4b0913a3dd7554a,WORLD NEWS,4.6,4,4,5,4,5,7,6
Man Sets Himself On Fire In Apparent Protest Of Funeral For Japan's Abe,https://www.huffpost.com/entry/man-sets-fire-protest-abe-funeral_n_632ae462e4b07198f0146afd,WORLD NEWS,3.2,3,4,3,2,3,7,2
Fiona Threatens To Become Category 4 Storm Headed To Bermuda,https://www.huffpost.com/entry/fiona-threatens-to-become-category-4-storm-headed-to-bermuda_n_632ad1cae4b07198f0143244,WORLD NEWS,4.7,6,5,5,4,3,7,3
Russian Cosmonaut Valery Polyakov Who Broke Record With 437-Day Stay In Space Dies At 80,https://www.huffpost.com/entry/valery-polyakov-dies_n_6329d497e4b0913a3dd5336c,WORLD NEWS,6.2,4,5,6,7,6,8,7
4 Russian-Controlled Ukrainian Regions Schedule Votes This Week To Join Russia,https://www.huffpost.com/entry/russian-controlled-ukrainian-regions-referendum_n_6329d53ae4b07198f012f023,WORLD NEWS,5.8,6,6,7,6,5,7,2
Fiona Barrels Toward Turks And Caicos Islands As Category 3 Hurricane,https://www.huffpost.com/entry/hurricane-fiona-barrels-toward-turks-and-caicos-islands_n_63298597e4b0ed991abcacf9,WORLD NEWS,3.5,4,4,3,2,3,8,3
Hurricane Fiona Bears Down On Dominican Republic After Pounding Puerto Rico,https://www.huffpost.com/entry/hurricane-fiona_n_63281718e4b0ed021dfe4ff0,WORLD NEWS,5.1,6,6,5,4,4,7,2
World Leaders Pay Respects To Queen Elizabeth II,https://www.huffpost.com/entry/queen-elizabeth-ii-world-leaders-funeral_n_63271396e4b046aa02404259,WORLD NEWS,4.6,4,5,3,6,4,8,4
Man Charged With Exposing Himself To Mourners Waiting To View Queen Elizabeth,https://www.huffpost.com/entry/man-arrested-exposure-assault-queens-mourners-london_n_63254f41e4b0ed021dfd40a6,WORLD NEWS,1.9,2,2,1,1,2,7,1
WHO Raises Alarm On Disease In Flood-hit Areas Of Pakistan,https://www.huffpost.com/entry/bc-as-pakistan-floods_n_63260f56e4b027aa4066b0f6,WORLD NEWS,5.0,6,6,5,4,3,8,3
"Bill Richardson Visits Moscow As Brittney Griner, Paul Whelan Remain Jailed",https://www.huffpost.com/entry/bill-richardson-russia_n_6321a027e4b0eac9f4dcaef1,WORLD NEWS,3.6,3,4,4,3,3,7,4
Last Reactor At Ukraine's Zaporizhzhia Nuclear Plant Stopped,https://www.huffpost.com/entry/russia-ukraine-war-nuclear-plant-reactor-stopped_n_631dc78de4b082746be0b33c,WORLD NEWS,5.9,6,6,7,6,5,8,3
Russia Says It's Pulling Back Forces From Ukraine's Kharkiv Region,https://www.huffpost.com/entry/bc-eu-russia-ukraine-war_n_631caa67e4b0ed021df310a8,WORLD NEWS,5.1,6,5,5,5,4,8,3
Ukraine Claws Back Some Territory; Nuclear Plant In Peril,https://www.huffpost.com/entry/ukraine-forces-success-counteroffensive-russia_n_631c89cce4b082746be0286c,WORLD NEWS,4.8,6,5,5,4,3,8,3
'Our Hearts Are Broken': Historic Front Pages Mark The Queen's Death,https://www.huffpost.com/entry/newspaper-front-pages-mark-the-queens-death_n_631b09e1e4b0eac9f4d64686,WORLD NEWS,5.2,4,6,4,7,5,7,3
UN Chief Asks World For 'Massive' Help In Flood-Hit Pakistan,https://www.huffpost.com/entry/antonio-guterres-pakistan-floods_n_631b47c7e4b027aa405b2142,WORLD NEWS,5.0,6,4,6,5,4,8,3
At Least 32 Dead In Fire At Karaoke Parlor In South Vietnam,https://www.huffpost.com/entry/ap-as-vietnam-karaoke-fire_n_6319c41be4b0ed021def2c70,WORLD NEWS,2.0,2,2,1,1,2,7,2
"Shelling Goes On Near Ukraine Nuclear Plant, Despite Risks",https://www.huffpost.com/entry/shelling-goes-on-near-ukraine-nuclear-plant-despite-risks_n_6318769ce4b027aa405646dd,WORLD NEWS,6.3,7,6,8,7,5,7,2
"U.S.: Russia To Buy Rockets, Artillery Shells From North Korea",https://www.huffpost.com/entry/us-russia-to-buy-rockets-artillery-shells-from-north-korea_n_6316ba7fe4b0ed021deaa7c1,WORLD NEWS,5.0,6,5,5,5,4,7,3
